1,JDK (Jasmani dan kesehatan),Badan terlalu kurus atau gemuk
2,JDK(Jasmani dan kesehatan),Warna kulit kurang memuaskan
3,JDK(Jasmani dan kesehatan),Berat badan terus berkurang atau bertambah
4,JDK(Jasmani dan kesehatan),Badan terlalu pendek
5,JDK(Jasmani dan kesehatan),Secara jasmaniah kurang menarik
16,JDK(Jasmani dan kesehatan),Fungsi dan/atau kondisi kesehatan mata kurang baik
17,JDK(Jasmani dan kesehatan),Mengalami gangguan tertentu karena cacat jasmani
18,JDK(Jasmani dan kesehatan),Fungsi dan/atau kondisi kesehatan hidung kurang baik
19,JDK(Jasmani dan kesehatan),Kondisi kesehatan kulit sering terganggu
20,JDK(Jasmani dan kesehatan),Gangguan pada gigi
31,JDK(Jasmani dan kesehatan),Fungsi dan/atau kerongkongan kurang baik atau sering terganggu misalnya serak
32,JDK(Jasmani dan kesehatan),Gagap dalam berbicara
33,JDK(Jasmani dan kesehatan),Fungsi dan/atau kondisi kesehatan telinga kurang baik
34,JDK(Jasmani dan kesehatan),Kurang mampu berolahraga karena kondisi jasmani yang kurang baik
35,JDK(Jasmani dan kesehatan),Gangguan pada pencernaan makanan
46,JDK(Jasmani dan kesehatan),Sering pusing dan/atau mudah sakit
47,JDK(Jasmani dan kesehatan),Mengalami gangguan setiap datang bulan
48,JDK(Jasmani dan kesehatan),Secara umum merasa tidak sehat
49,JDK(Jasmani dan kesehatan),Khawatir mengidap penyakit turunan
50,JDK(Jasmani dan kesehatan),Selera makan sering terganggu
61,JDK(Jasmani dan kesehatan),Mengidap penyakit kambuhan
62,JDK(Jasmani dan kesehatan),Alergi terhadap makanan atau keadaan tertentu
63,JDK(Jasmani dan kesehatan),Kurang atau susah tidur
64,JDK(Jasmani dan kesehatan),Mengalami gangguan akibat merokok atau minuman atau obat-obatan
65,JDK(Jasmani dan kesehatan),Khawatir tertular penyakit yang diderita orang lain
76,DPI(Diri Pribadi),Sering mimpi buruk
77,DPI(Diri Pribadi),Cemas atau khawatir tentang sesuatu yang belum pasti
78,DPI(Diri Pribadi),Mudah lupa
79,DPI(Diri Pribadi),Sering melamun atau berkhayal
80,DPI(Diri Pribadi),Ceroboh atau kurang hati-hati
91,DPI(Diri Pribadi),Sering murung dan/atau merasa tidak bahagia
92,DPI(Diri Pribadi),Mengalami kerugian atau kesulitan karena terlampau hati-hati
93,DPI(Diri Pribadi),Kurang serius menghadapi sesuatu yang penting
94,DPI(Diri Pribadi),Merasa hidup kurang berarti
95,DPI(Diri Pribadi),Sering gagal dan/atau mudah patah semangat
106,DPI(Diri Pribadi),Mudah gentar atau khawatir dalam menghadapi dan/atau mengemukakan sesuatu
107,DPI(Diri Pribadi),Penakut pemalu dan/atau mudah jadi bingung
108,DPI(Diri Pribadi),Keras kepala atau sukar mengubah pendapat sendiri meskipun kata orang lain pendapat itu salah
109,DPI(Diri Pribadi),Takut mencoba sesuatu yang baru
110,DPI(Diri Pribadi),Mudah marah atau tidak mampu mengendalikan diri
121,DPI(Diri Pribadi),Merasa kesepian dan/atau takut ditinggal sendiri
122,DPI(Diri Pribadi),Sering bertingkah laku bertindak atau bersikap kekanak-kanakan
123,DPI(Diri Pribadi),Rendah diri atau kurang percaya diri
161,KHK(Keadaan dan Hubungan dalam Keluarga),Bermasalah karena kedua orang tua hidup berpisah atau cerai
162,KHK(Keadaan dan Hubungan dalam Keluarga),Mengalami masalah karena ayah dan/atau ibu kandung telah meninggal
163,KHK(Keadaan dan Hubungan dalam Keluarga),Mengkhawatirkan kondisi kesehatan anggota keluarga
164,KHK(Keadaan dan Hubungan dalam Keluarga),Mengalami masalah karena keadaan dan perlengkapan tempat tinggal dan/atau rumah orang tua kurang memadai
165,KHK(Keadaan dan Hubungan dalam Keluarga),Mengkhawatirkan kondisi orang tua yang bekerja terlalu berat
176,KHK(Keadaan dan Hubungan dalam Keluarga),Keluarga mengeluh tentang keadaan keuangan
177,KHK(Keadaan dan Hubungan dalam Keluarga),Mengkhawatirkan keadaan orang tua yang bertempat tinggal jauh
178,KHK(Keadaan dan Hubungan dalam Keluarga),Bermasalah karena ibu atau bapak akan kawin lagi
179,KHK(Keadaan dan Hubungan dalam Keluarga),Khawatir tidak mampu memenuhi tuntutan atau harapan orang tua atau anggota keluarga lain
180,KHK(Keadaan dan Hubungan dalam Keluarga),Membayangkan dan berpikir-pikir seandainya menjadi anak dari keluarga lain
191,KHK(Keadaan dan Hubungan dalam Keluarga),Kurang mendapat perhatian dan pengertian dari orang tua dan/atau anggota keluarga
192,KHK(Keadaan dan Hubungan dalam Keluarga),Mengalami kesulitan dengan bapak atau ibu tiri
193,KHK(Keadaan dan Hubungan dalam Keluarga),Diperlakukan tidak adil oleh orang tua atau anggota keluarga lainnya
194,KHK(Keadaan dan Hubungan dalam Keluarga),Khawatir akan terjadinya pertentangan atau percekcokan dalam keluarga
195,KHK(Keadaan dan Hubungan dalam Keluarga),Hubungan dengan orang tua dan anggota keluarga kurang hangat kurang harmonis dan/atau kurang menggembirakan
206,KHK(Keadaan dan Hubungan dalam Keluarga),Mengalami masalah karena menjadi anak tunggal anak sulung anak bungsu satu-satunya anak laki-laki satu-satunya atau satu-satunya anak perempuan
207,KHK(Keadaan dan Hubungan dalam Keluarga),Hubungan kurang harmonis dengan kakak atau adik atau dengan anggota keluarga lainnya
208,KHK(Keadaan dan Hubungan dalam Keluarga),Orang tua atau keluarga anggota lainnya terlalu berkuasa atau kurang memberi kebebasan
209,KHK(Keadaan dan Hubungan dalam Keluarga),Dicurigai oleh orang tua atau anggota keluarga lainnya
210,KHK(Keadaan dan Hubungan dalam Keluarga),Bermasalah karena dirumah orang tua tinggal orang atau anggota keluarga lainnya
221,KHK(Keadaan dan Hubungan dalam Keluarga),Tinggal di lingkungan keluarga atau tetangga yang kurang menyenangkan
222,KHK(Keadaan dan Hubungan dalam Keluarga),Tidak sependapat dengan orang tua atau anggota keluarga tentang sesuatu yang direncanakan
