001,JDK (Jasmani dan kesehatan),Badan terlalu kurus atau gemuk
002,JDK (Jasmani dan kesehatan),Warna kulit kurang memuaskan
003,JDK (Jasmani dan kesehatan),Berat badan terus berkurang atau bertambah
004,JDK (Jasmani dan kesehatan),Badan terlalu pendek
005,JDK (Jasmani dan kesehatan),Secara jasmaniah kurang menarik
016,JDK (Jasmani dan kesehatan),Fungsi dan/atau kondisi kesehatan mata kurang baik
017,JDK (Jasmani dan kesehatan),Mengalami gangguan tertentu karena cacat jasmani
018,JDK (Jasmani dan kesehatan),Fungsi dan/atau kondisi kesehatan hidung kurang baik
019,JDK (Jasmani dan kesehatan),Kondisi kesehatan kulit sering terganggu
020,JDK (Jasmani dan kesehatan),Gangguan pada gigi
031,JDK (Jasmani dan kesehatan),Fungsi dan/atau kerongkongan kurang baik atau sering terganggu misalnya serak
032,JDK (Jasmani dan kesehatan),Gagap dalam berbicara
033,JDK (Jasmani dan kesehatan),Fungsi dan/atau kondisi kesehatan telinga kurang baik
034,JDK (Jasmani dan kesehatan),Kurang mampu berolahraga karena kondisi jasmani yang kurang baik
035,JDK (Jasmani dan kesehatan),Gangguan pada pencernaan makanan
046,JDK (Jasmani dan kesehatan),Sering pusing dan/atau mudah sakit
047,JDK (Jasmani dan kesehatan),Mengalami gangguan setiap datang bulan
048,JDK (Jasmani dan kesehatan),Secara umum merasa tidak sehat
049,JDK (Jasmani dan kesehatan),Khawatir mengidap penyakit turunan
050,JDK (Jasmani dan kesehatan),Selera makan sering terganggu
061,JDK (Jasmani dan kesehatan),Mengidap penyakit kambuhan
062,JDK (Jasmani dan kesehatan),Alergi terhadap makanan atau keadaan tertentu
063,JDK (Jasmani dan kesehatan),Kurang atau susah tidur
064,JDK (Jasmani dan kesehatan),Mengalami gangguan akibat merokok atau minuman atau obat-obatan
065,JDK (Jasmani dan kesehatan),Khawatir tertular penyakit yang diderita orang lain
076,DPI (Diri Pribadi),Sering mimpi buruk
077,DPI (Diri Pribadi),Cemas atau khawatir tentang sesuatu yang belum pasti
078,DPI (Diri Pribadi),Mudah lupa
079,DPI (Diri Pribadi),Sering melamun atau berkhayal
080,DPI (Diri Pribadi),Ceroboh atau kurang hati-hati
091,DPI (Diri Pribadi),Sering murung dan/atau merasa tidak bahagia
092,DPI (Diri Pribadi),Mengalami kerugian atau kesulitan karena terlampau hati-hati
093,DPI (Diri Pribadi),Kurang serius menghadapi sesuatu yang penting
094,DPI (Diri Pribadi),Merasa hidup kurang berarti
095,DPI (Diri Pribadi),Sering gagal dan/atau mudah patah semangat
106,DPI (Diri Pribadi),Mudah gentar atau khawatir dalam menghadapi dan/atau mengemukakan sesuatu
107,DPI (Diri Pribadi),Penakut pemalu dan/atau mudah jadi bingung
108,DPI (Diri Pribadi),Keras kepala atau sukar mengubah pendapat sendiri meskipun kata orang lain pendapat itu salah
